Year,Geography,GeoCode,Sex,Value
2015,Saskatchewan,47,Males,22.6
2015,Saskatchewan,47,Females,5.3
2016,Saskatchewan,47,Both sexes,15.7
2016,Saskatchewan,47,Males,21.9
2016,Saskatchewan,47,Females,9.3
2017,Saskatchewan,47,Both sexes,16.3
2017,Saskatchewan,47,Males,24.2
2017,Saskatchewan,47,Females,8.2
2018,Saskatchewan,47,Both sexes,19.9
2018,Saskatchewan,47,Males,29.9
2018,Saskatchewan,47,Females,9.7
2019,Saskatchewan,47,Both sexes,16.0
2019,Saskatchewan,47,Males,25.4
2019,Saskatchewan,47,Females,6.5
2020,Saskatchewan,47,Both sexes,15.6
2020,Saskatchewan,47,Males,23.4
2020,Saskatchewan,47,Females,7.7
2015,Yukon,60,Both sexes,13.4
2015,Yukon,60,Males,26.4
2015,Yukon,60,Females,0.0
2016,Yukon,60,Both sexes,18.4
2016,Yukon,60,Males,25.8
