Value,en,fr,Disaggregation combinations using this value,Number of indicators
1.3756,1.3756,1.3756,1,1
1.3771,1.3771,1.3771,1,1
1.3783,1.3783,1.3783,1,1
13.8,13.8,13.8,9,1
1.3801652892562,1.3801652892562,1.3801652892562,1,1
1.38095238095238,1.38095238095238,1.38095238095238,3,1
1.3827,1.3827,1.3827,1,1
138449160.04,138449160.04,138449160.04,1,1
1.38666666666667,1.38666666666667,1.38666666666667,3,1
13.9,13.9,13.9,10,1
1.39316239316239,1.39316239316239,1.39316239316239,2,1
139426127.25,139426127.25,139426127.25,1,1
1.3967,1.3967,1.3967,1,1
1.3968253968254,1.3968253968254,1.3968253968254,1,1
1.3987,1.3987,1.3987,1,1
14.0,14.0,14.0,13,1
1.40217391304348,1.40217391304348,1.40217391304348,2,1
1.40384615384615,1.40384615384615,1.40384615384615,1,1
140534787.12,140534787.12,140534787.12,1,1
1.40845070422535,1.40845070422535,1.40845070422535,3,1
1.40845074679165,1.40845074679165,1.40845074679165,1,1
1.40963855421687,1.40963855421687,1.40963855421687,1,1
14.1,14.1,14.1,11,1
141220757.12,141220757.12,141220757.12,1,1
141376849.43,141376849.43,141376849.43,1,1
141575809.2,141575809.2,141575809.2,1,1
1.4163,1.4163,1.4163,1,1
1.4176,1.4176,1.4176,1,1
1.4185,1.4185,1.4185,1,1
1.4193,1.4193,1.4193,1,1
1.42,1.42,1.42,1,1
1.4255,1.4255,1.4255,1,1
1.42592592592593,1.42592592592593,1.42592592592593,2,1
142602237.3,142602237.3,142602237.3,1,1
1.42621625989979,1.42621625989979,1.42621625989979,1,1
142679111.11,142679111.11,142679111.11,1,1
1.42735042735043,1.42735042735043,1.42735042735043,1,1
1.4289,1.4289,1.4289,1,1
14.2,14.2,14.2,14,1
14.3,14.3,14.3,9,1
1.43037974683544,1.43037974683544,1.43037974683544,1,1
1.43283582089552,1.43283582089552,1.43283582089552,2,1
1.4336579623434,1.4336579623434,1.4336579623434,1,1
1.4343,1.4343,1.4343,1,1
1.4354,1.4354,1.4354,1,1
1.436,1.436,1.436,1,1
1.43706805683941,1.43706805683941,1.43706805683941,1,1
1.44,1.44,1.44,1,1
144017543.86,144017543.86,144017543.86,1,1
1.44230769230769,1.44230769230769,1.44230769230769,1,1
1.44247787610619,1.44247787610619,1.44247787610619,1,1
144.3,144.3,144.3,1,1
1.4434,1.4434,1.4434,1,1
144355980.18,144355980.18,144355980.18,1,1
1.4446,1.4446,1.4446,1,1
144634945.18,144634945.18,144634945.18,1,1
1.4467,1.4467,1.4467,1,1
1.4483,1.4483,1.4483,1,1
1.44927536732658,1.44927536732658,1.44927536732658,1,1
1.4499,1.4499,1.4499,1,1
14.4,14.4,14.4,14,1
14.5,14.5,14.5,12,1
1.4504,1.4504,1.4504,1,1
1.4509,1.4509,1.4509,1,1
1.454,1.454,1.454,1,1
145528943.88,145528943.88,145528943.88,1,1
1.45652173913044,1.45652173913044,1.45652173913044,1,1
1.4578313253012,1.4578313253012,1.4578313253012,1,1
145872945.36,145872945.36,145872945.36,1,1
14.6,14.6,14.6,11,1
146057889.13,146057889.13,146057889.13,1,1
1.46296296296296,1.46296296296296,1.46296296296296,2,1
146331945.16,146331945.16,146331945.16,1,1
