Year,Géographie,Level of government,Type de patrimoine,Value
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9.95725629188791e-05
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",5.5720834638402e-05
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9.52371408360442e-06
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.54721716524697e-05
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001191198615512
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1.49836303838057e-05
2017,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6.74263367271256e-06
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.73863001170967e-05
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001034484856967
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.73747903864192e-05
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,7.00290019098819e-05
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001153002758718
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1.06104548348306e-05
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6.76711230576973e-05
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.05489854310397e-05
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,6.93798657195301e-05
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0001422084382145
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9.45351386704708e-05
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0008583690987124
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0003786922494319
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.04922999242616e-05
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0002895903410483
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0002004856207257
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4.45523601612795e-05
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0002895903410483
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0001598039737921
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0006658498908006
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0004794119213764
2018,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,4.57573494235168e-05
2018,Canada,Administration publique générale canadienne consolidée,Services culturels,0.0001703490001533
2018,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",0.0001068930533113
2018,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5.06136718859183e-05
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,3.66112754526605e-05
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001089165210039
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4.9642407393438e-05
2018,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4.87251020394288e-05
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.14163939417003e-05
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.56229545627521e-05
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",3.9957378795951e-05
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.30381496258051e-05
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9.12670473806357e-05
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6.51907481290255e-06
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,3.75623691838323e-05
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,6.05171503517298e-05
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0001053833135435
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.46656826357489e-05
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.43825984907199e-05
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.19277529173661e-06
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6.5462645943018e-06
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001496119017279
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",8.80770145415151e-06
2018,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",8.02214970283529e-05
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,5.60498275978588e-05
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9.94500058251286e-05
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",5.29747747121908e-05
2018,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9.85414674725448e-06
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.51325929074344e-05
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001204886071738
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1.47838781808438e-05
2018,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.17435736329533e-06
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.8936671466826e-05
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001187845755646
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2018,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4.13163741094385e-05
2018,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6.86321838411921e-05
2018,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001193502044424
