Year,Géographie,Type de production d'électricité,GeoCode,Value
2020,Nouvelle-Écosse,Solaire,12,0.0
2020,Nouvelle-Écosse,Turbine marémotrice,12,0.0
2020,Nouvelle-Écosse,Turbine éolienne,12,10.01
2020,Nunavut,Turbine à hydraulique,62,0.0
2020,Nunavut,Solaire,62,0.0
2020,Nunavut,Turbine éolienne,62,0.0
2020,Ontario,Turbine à hydraulique,35,25.13
2020,Ontario,Autres types de production électrique,35,0.0
2020,Ontario,Solaire,35,1.63
2020,Ontario,Turbine éolienne,35,8.18
2020,Île-du-Prince-Édouard,Turbine à hydraulique,11,0.0
2020,Île-du-Prince-Édouard,Autres types de production électrique,11,0.0
2020,Île-du-Prince-Édouard,Solaire,11,0.09
2020,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2020,Île-du-Prince-Édouard,Turbine éolienne,11,99.07
2020,Québec,Turbine à hydraulique,24,93.79
2020,Québec,Autres types de production électrique,24,0.0
2020,Québec,Solaire,24,0.0
2020,Québec,Turbine éolienne,24,5.23
2020,Saskatchewan,Turbine à hydraulique,47,18.04
2020,Saskatchewan,Autres types de production électrique,47,0.35
2020,Saskatchewan,Solaire,47,0.0
2020,Saskatchewan,Turbine éolienne,47,3.34
2020,Yukon,Turbine à hydraulique,60,82.61
2020,Yukon,Autres types de production électrique,60,0.0
2020,Yukon,Solaire,60,0.0
2020,Yukon,Turbine éolienne,60,0.0
2021,Alberta,Turbine à hydraulique,48,2.85
2021,Alberta,Autres types de production électrique,48,0.08
2021,Alberta,Solaire,48,0.34
2021,Alberta,Turbine éolienne,48,9.07
2021,Colombie-Britannique,Turbine à hydraulique,59,88.63
2021,Colombie-Britannique,Autres types de production électrique,59,0.0
2021,Colombie-Britannique,Solaire,59,0.01
2021,Colombie-Britannique,Turbine marémotrice,59,0.0
2021,Colombie-Britannique,Turbine éolienne,59,2.78
2021,Canada,Turbine à hydraulique,,60.06
2021,Canada,Autres types de production électrique,,0.03
2021,Canada,Solaire,,0.44
2021,Canada,Turbine marémotrice,,0.0
2021,Canada,Turbine éolienne,,5.76
2021,Manitoba,Turbine à hydraulique,46,96.31
2021,Manitoba,Autres types de production électrique,46,0.0
2021,Manitoba,Solaire,46,0.01
2021,Manitoba,Turbine éolienne,46,3.31
2021,Nouveau-Brunswick,Turbine à hydraulique,13,21.23
2021,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2021,Nouveau-Brunswick,Solaire,13,0.0
2021,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2021,Nouveau-Brunswick,Turbine éolienne,13,5.74
2021,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,96.31
2021,Terre-Neuve-et-Labrador,Autres types de production électrique,10,0.0
2021,Terre-Neuve-et-Labrador,Solaire,10,0.0
2021,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
2021,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.38
