Year,Personnes à faible revenu,Géographie,GeoCode,Value
2016,Hommes+,"Toronto, Ontario",,13.9
2016,"Men+, under 18 years","Toronto, Ontario",,16.8
2016,"Men+, 18 to 64 years","Toronto, Ontario",,12.8
2016,"Men+, 65 years and over","Toronto, Ontario",,15.1
2016,Femmes+,"Toronto, Ontario",,17.3
2016,"Women+, under 18 years","Toronto, Ontario",,21.5
2016,"Women+, 18 to 64 years","Toronto, Ontario",,16.4
2016,"Women+, 65 years and over","Toronto, Ontario",,15.5
2016,Toutes les personnes,"Winnipeg, Manitoba",,13.3
2016,Personnes de moins de 18 ans,"Winnipeg, Manitoba",,18.6
2016,Personnes de 18 à 64 ans,"Winnipeg, Manitoba",,12.1
2016,Personnes de 65 ans et plus,"Winnipeg, Manitoba",,11.0
2016,Hommes+,"Winnipeg, Manitoba",,13.1
2016,"Men+, under 18 years","Winnipeg, Manitoba",,19.9
2016,"Men+, 18 to 64 years","Winnipeg, Manitoba",,11.6
